ir;;sein;bin,bist,ist,sind,seid,sind;war,warst,war,waren,wart,waren;verb;;1;to be
;;selbstverständlich;;;adj;;3;natural, self-evident
der;;Senior;~en;~en;noun;pers;1;senior
;;sichtbar;~er;~sten;adj;;2;visible
;;sie;;;pron;;1;she
;;sieben;;;num;;1;seven
;;sinnvoll;~er;~sten;adj;;3;meaningful
das;;Sofa;~s;~s;noun;furn;1;sofa
der;;Sohn;~s, ~es;⍨e;noun;pers, fam;1;son
;;solch;;;pron;;3;such
;;speziell;~er;~sten;adj;;2;special
der;;Spiegel;~s;~;noun;furn;2;mirror
w;;spielen;;;verb;;1;to play
das;;Spielzeug;~s, ~es;~e;noun;;2;toy
s4;;sprechen;;;verb;;1;to speak
;;ständig;–;–;adj;;3;permanent, persistant
;;stark;⍨er;⍨sten;adj;;2;strong, powerful
ir;;stehen;;;verb;;2;to stand
der;;Stift;~s, ~es;~e;noun;;2;pen
w;;stimmen;;;verb;;3;to be true, to vote
;;stressig;~er;~sten;adj;;2;stressful
der;;Student;~en;~en;noun;job, pers;1;student
die;;Studentin;~;~nen;noun;job, pers;1;student
der;;Stuhl;~s, ~es;⍨e;noun;furn;1;chair
die;;Summe;~;~n;noun;;2;sum
;;super;–;–;adj;;2;super
die;;Suppe;~;~n;noun;food;1;soup
die;;Tasche;~;~n;noun;clot;1;bag
die;;Tasse;~;~n;noun;;1;cup
;;tatsächlich;–;–;adj;;2;actual, real
der;;Teilnehmer;~s;~;noun;pers;3;participant
der;;Teller;~s;~;noun;;1;plate, dish
;;teuer;~er;~sten;adj;;2;expensive
das;;Tier;~es, ~s;~e;noun;anim;1;animal
der;;Tisch;~s, ~es;~e;noun;furn;1;table
die;;Tochter;~;⍨;noun;fam, pers;1;daughter
die;;Toilette;~;~n;noun;plac ;1;toilet
;;toll;~er;~sten;adj;;2;great
das;;Tor;~s, ~es;~e;noun;;2;gate
;;tragen;;;verb;;2;to wear, to carry
der;;Trainer;~s;~;noun;job, pers;2;trainer
s3;;trinken;;;verb;;1;to drink
;;tschüss;;;int;;1;bye, cheers, ciao
die;;Tür;~;~en;noun;;1;door
der;;Umzug;~s, ~es;⍨s;noun;conc;2;move, relocation
;;unabhängig;~er;~sten;adj;;3;independent
;;unbedingt;;;adv;;3;absolutely, definietly, unconditionally
;;unbekannt;~er;~esten;adj;;3;unknown, unfamiliar
;;unser;;;pron;;1;our, ours
der;;Unternehmer;~s;~;noun;job, pers;2;entrepreneur
der;;Vater;~s;⍨;noun;fam, pers;1;father
der;;Veranstalter;~s;~;noun;job, pers;2;host, organizer
;;verantwortlich;~er;~sten;adj;;2;responsible
die;;Verbindung;~;~en;noun;conc;3;connection
der;;Verbraucher;~s;~;noun;pers;3;consumer
der;;Verein;~s, ~es;~e;noun;grou;3;club, society
der;;Verfasser;~s;~;noun;job, pers;2;author
;;verfügbar;–;–;adj;;3;available, disposable
das;;Verhältnis;~ses;~se;noun;conc;3;relationship, affair
der;;Verkäufer;~s;~;noun;job, pers;3;seller, salesman, vendor
;;verpflichtet;;;;;100;
der;;Vertreter;~s;~;noun;job, pers;3;representative, agent
;;viel;mehr;meisten;adj;;3;much, a lot
;;vier;;;num;;1;four
die;;Villa;;Villen;noun;plac;3;villa, mansion
der;;Vogel;~s;⍨;noun;anim;1;bird
;;voll;~er;~sten;adj;;3;full
;;vollständig;~er;~sten;adj;;3;complete, entire
;;vorgesehen;;;;;100;
;;vorhanden;–;–;adj;;3;available
der;;Vorname;~s;~en;noun;conc;1;given name
der;;Vorsitz;;;noun;;100;
der;;Vorsitzende;~n;~;noun;job, pers;3;chairman
die;;Vorstand;~s, ~es;⍨e;noun;conc;3;board of directors
;;völlig;–;–;adj;;3;complete
die;;Wand;~;⍨e;noun;on;2;wall, separator
;;was;;;pron;;2;what
das;;Wasser;~s;~, ⍨;noun;dri;1;water
der;;Weber;~s;~;noun;job, pers;1;weaver
der;;Wein;~s, ~es;~e;noun;dri;1;wine
;;weiß;~er;~esten;adj;col;1;white
;;welch;;;;;100;
;;welche;;;pron;;2;what
;;wenig;~er;~sten;adj;;3;few, little
ir;;werden;;;verb;;1;will
das;;Werk;~s, ~es;~e;noun;conc;2;work
die;;Werkstatt;~;⍨en;noun;;2;workshop, garage
;;wert;;;adj;;3;worth
;;wesentlich;~;~sten;adj;;3;significant, crucial
;;wichtig;~er;~sten;adj;;2;important
s5;wieder;wiedersehen;;;verb;;3;to see again
;;willkommen;;;adj;;2;welcome
;;wir;;;pron;;1;we
;;wirklich;~er;~sten;adj;;2;real
ir;;wissen;;;verb;;2;to know
die;;Wohnung;~;~en;noun;plac;2;flat, apartment
der;;Wolf;~s, ~es;⍨e;noun;anim;1;wolf
;;wollen;–;–;adj;;3;wool
das;;Wort;~s, ~es;~e;noun;;1;word
die;;Zahl;~;~en;noun;;2;number, figure
w;;zählen;;;verb;;2;to count
;;zehn;;;num;;1;ten
die;;Zeitung;~;~en;noun;read;1;newspaper
;;ziemlich;;;adj;;2;quite
die;;Zitrone;~;~n;noun;food;1;lemon
der;;Zucker;~s;~;noun;food;1;sugar
;;zufrieden;~er;~sten;adj;;3;satisfied
;;zusätzlich;–;–;adj;;3;additional
;;zuständig;–;–;adj;;3;responsible
;;zwei;;;num;;1;two
;;zweit;;;adv;;3;in two
;;zwölf;;;num;;1;twelve
